SampleType,Time,Rank,Taxon,n_samples,mean_RA_percent,sd_RA_percent,median_RA_percent,Q1_RA_percent,Q3_RA_percent,min_RA_percent,max_RA_percent
sputum,T0,Phylum,Bacillota,30,32.96960986353149,28.982091598932843,32.674093025903176,5.373202870395037,49.50161622642213,0,100
sputum,T0,Phylum,Pseudomonadota,30,32.12243906738549,36.94678406464653,14.891983320350011,1.5107317195321657,65.13376348662365,0,98.70303
sputum,T0,Phylum,Actinomycetota,30,13.590863025074048,13.212069027347244,11.043379970391111,1.638510370513788,18.89470711380904,0,50.350139999999996
sputum,T0,Phylum,UNCLASSIFIED,30,10.728111375070743,15.010856976819886,4.540994810262109,0.2950225,17.722786446428117,0,73.27926000000001
sputum,T0,Phylum,Bacteroidota,30,9.001607816701842,12.501159675764026,4.293279746504111,0,14.58516006543148,0,50.37506488748053
sputum,T0,Phylum,Candidatus_Saccharibacteria,30,0.8534252487894227,2.269105373805998,0,0,0.3455300064422506,0,11.417400938809731
sputum,T0,Phylum,Fusobacteriota,30,0.5044609961594816,1.0650243538169013,0,0,0.24454004331575813,0,4.468390446839045
sputum,T0,Phylum,Mycoplasmatota,30,0.16062105073584437,0.6249967416183064,0,0,0,0,3.3959406791881355
sputum,T0,Phylum,Spirochaetota,30,0.06777640677595845,0.25395951974512637,0,0,0,0,1.3396967658550336
sputum,T0,Phylum,Candidatus_Absconditabacteria,30,0.0010851497756825524,0.0059436101041300485,0,0,0,0,0.03255449327047657
sputum,T0,Phylum,Bacteria_unclassified,30,0,0,0,0,0,0,0
sputum,T0,Phylum,Synergistetes,30,0,0,0,0,0,0,0
sputum,T0,Phylum,Verrucomicrobiota,30,0,0,0,0,0,0,0
sputum,T12,Phylum,Pseudomonadota,30,34.229336467138985,40.92425466579357,9.355020502675808,2.297673399495813,72.72300087589215,0,100
sputum,T12,Phylum,Bacillota,30,23.953782307910146,18.84085003355638,23.97587891851971,3.2879871762470447,36.999882343553026,0,62.90912259663843
sputum,T12,Phylum,Bacteroidota,30,13.01001527287791,14.89866773291138,6.446695955031796,0,25.36951962145295,0,44.93500438583433
sputum,T12,Phylum,Actinomycetota,30,12.637894170127826,14.49393347325375,10.050087981756853,0,21.943023353694663,0,53.818940000000005
sputum,T12,Phylum,UNCLASSIFIED,30,11.561773189152495,13.788461711493639,6.365034334584578,0,18.936161315080117,0,46.18106
sputum,T12,Phylum,Fusobacteriota,30,2.694638590098384,7.166513074853683,0,0,1.5205395886342674,0,29.65341016278311
sputum,T12,Phylum,Candidatus_Saccharibacteria,30,1.4647874004774821,2.354266380074735,0,0,2.1386231004508325,0,7.697158178128874
sputum,T12,Phylum,Spirochaetota,30,0.2575153969996307,0.7253631458098401,0,0,0.05726542722429184,0,3.1990261442713672
sputum,T12,Phylum,Mycoplasmatota,30,0.14584275542162975,0.4865804003594085,0,0,0,0,2.281352842042926
sputum,T12,Phylum,Candidatus_Absconditabacteria,30,0.04441444979551403,0.1977264756243993,0,0,0,0,1.0569
sputum,T12,Phylum,Bacteria_unclassified,30,0,0,0,0,0,0,0
sputum,T12,Phylum,Synergistetes,30,0,0,0,0,0,0,0
sputum,T12,Phylum,Verrucomicrobiota,30,0,0,0,0,0,0,0
