taxon,lfc_(Intercept),lfc_ppFEV1,lfc_Age,lfc_Sexmale,se_(Intercept),se_ppFEV1,se_Age,se_Sexmale,W_(Intercept),W_ppFEV1,W_Age,W_Sexmale,p_(Intercept),p_ppFEV1,p_Age,p_Sexmale,q_(Intercept),q_ppFEV1,q_Age,q_Sexmale,diff_(Intercept),diff_ppFEV1,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_ppFEV1,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,47.25419370589262,-0.34117041232167256,-0.5094829724276563,NA,3.479564398098302,0.02986200035044853,0.03439048065268266,NA,13.580491205082627,-11.424901490785366,-14.814651111539892,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_mitis,-1.268065212791305,0.01835959826191238,0.013099852941412176,-0.9494444419282391,3.032779738838186,0.02666065019865394,0.03132300768116842,0.4984583631060288,-0.4181197851437383,0.6886403041602988,0.41821823353470255,-1.9047617859433517,0.6814173890723675,0.5009138180311552,0.6813468805911047,0.0749481615008372,1,1,1,0.2832723983947496,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_sanguinis,1.379411939656863,-0.010056315126829573,-0.009347054303667612,-0.22759289915778447,3.3216631010965876,0.02849347064391316,0.032933432679017854,0.2207871741181809,0.4152774973480829,-0.3529340196041659,-0.283816582218066,-1.0308248206300274,0.6992478058144642,0.7419512458282784,0.7906358053699762,0.36087019949592525,1,1,1,0.7854233753734843,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ICM47,-9.2687211015687,0.06538372291801423,0.06571952307340391,2.0955857288369444,3.3015088080283825,0.02837980405865624,0.03281367587035974,0.2607768528562431,-2.8074197709331137,2.3038821121836204,2.002808930430366,8.035934577338294,0.037662596530275205,0.06943520858993782,0.10157449446228957,4.826541766327571e-4,1,1,1,0.01020468830594972,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Lancefieldella_parvula,1.1588323594084293,-0.020625715925706244,-0.013971645547116824,1.681654109339549,3.3201155806443876,0.028439126382235787,0.034458911531167785,0.3306782971130041,0.3490337403204247,-0.7252584220937915,-0.4054581217540662,5.08546863831487,0.736072673956267,0.4889621442075135,0.6957677640047069,9.467022273362709e-4,1,1,1,0.014297845124166486,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Schaalia_odontolytica,2.667966205771391,-0.02880530959903555,-0.0050993887046266945,0.7011091785350736,3.3792152430250417,0.02902651131838405,0.03337403346503935,0.3200674528898033,0.7895224227809332,-0.9923793212032203,-0.15279509772076277,2.190504445875226,0.4874548396891171,0.3941653662926347,0.8882582058532407,0.11619948890951877,1,1,1,0.3659047735874208,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_salivarius,1.6247983293443842,-0.01678015346138593,0.002587394262730442,-0.1926045602781238,3.196074386455903,0.027674865936127103,0.03168904747963096,0.26273637135997435,0.5083731268051329,-0.6063318789010252,0.08164948045199413,-0.7330715548866161,0.6234179647845706,0.5592753506992649,0.9367124273263059,0.4821709710665494,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_graevenitzii,-4.943956530714492,0.038791568703558973,0.04156405814567072,0.7147176197426686,3.135640013417917,0.026577176095336354,0.03230689486873329,0.3599210727060507,-1.576697742584765,1.4595820325081845,1.286538316806687,1.9857620849179394,0.14316912264661183,0.17236577966569852,0.22467241961437764,0.07255093843275065,1,1,1,0.2825668128433447,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Solobacterium_moorei,-28.238117966722033,0.16126904479550394,0.34622734195226257,6.69204034383941,3.444905298597879,0.02956530187236795,0.03405548159936914,0.1599975801537396,-8.197066542936698,5.45467269340577,10.166567192480292,41.825884725313436,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Gemella_sanguinis,-2.1699656752365177,0.019255628323371552,0.037951990645414574,-0.7971894730092989,3.0937573858151812,0.026636429966520974,0.03126831498697933,0.2549449082483917,-0.7014013720616132,0.722905747788789,1.2137523451845245,-3.1269087838875396,0.49762336109942795,0.48482503167831914,0.2502596367441346,0.009630595796241813,1,1,1,0.061970790341034275,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_australis,-5.690513676449761,0.048640299921187506,0.07180993350836337,-0.2921837248812577,3.3177632353611335,0.028372774876847424,0.03320364129088558,0.24451136321764294,-1.715165692295206,1.7143300270175077,2.162712603694922,-1.1949699230181827,0.14697509452264282,0.147133505628957,0.08290241804829544,0.2856833607727963,1,1,1,0.6819098863979658,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Schaalia_SGB17157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ph3,-1.1024196458778406,0.007231545019835799,0.01912959930231581,0.3844091086428853,3.4273074293211825,0.029381293791794643,0.034004584993964415,0.1821332306683844,-0.32165764776350614,0.2461275215135476,0.5625594109062405,2.110592928221818,0.8018801758733247,0.8463641239820427,0.6737740077708627,0.28168464337958493,1,1,1,0.6819098863979658,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Veillonella_dispar,2.669494460020018,-0.023409849761560093,-0.036722406978980375,1.0012516779009615,3.241128692250374,0.028265919103480842,0.03170515271060469,0.25490683134177156,0.8236311215913305,-0.8282005504882824,-1.1582472828366956,3.927912298899957,0.43401434229381364,0.4315689415940269,0.2801688305783396,0.004369491797595936,1,1,1,0.032334239302209924,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Actinomyces_oris,0.9822867763480118,0.0038418416436744266,0.03126279291690869,-2.228578491350351,3.4132069514289585,0.029010875921423193,0.03463537908231898,0.2559552129807928,0.2877899847053727,0.13242763348752953,0.9026259779806494,-8.706907999242766,0.7878026187571463,0.9010404862341505,0.4177649930594702,9.581589586290687e-4,1,1,1,0.014297845124166486,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Streptococcus_parasanguinis,0.7194875790803563,-0.009958174279283038,0.02088712385303033,-0.40213772237379797,3.235837041437602,0.02778167749988231,0.03277900787546592,0.2595203610342048,0.22234975676052768,-0.35844395210927144,0.637210373553243,-1.5495420889954612,0.8296131282039216,0.7292858088216787,0.5417895808732611,0.15984568524333229,1,1,1,0.4597986628534008,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Abiotrophia_defectiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Abiotrophia_sp_HMSC24B09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Mogibacterium_diversum,-0.05396230289527373,-0.008539839968314651,0.026241923451532766,0.407458663835544,3.2153112327592983,0.027427206994147895,0.03226683236485967,0.28006389669457027,-0.0167829174188418,-0.3113638209729771,0.8132785751882989,1.4548775070422835,0.9870208099895175,0.7634832420640639,0.43959003246425954,0.18378852019531125,1,1,1,0.4857268033733226,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_SGB17132,-4.308535063828813,0.03692877267471453,0.029844365395481496,0.7376584425388331,3.2804059006833297,0.028042341232608514,0.03292817899071565,0.23625566821659352,-1.313415227954357,1.3168933495386113,0.9063472779316567,3.1222888665789195,0.2370309075768921,0.2359338122737602,0.39968530186613843,0.02052501312360782,1,1,1,0.10125673140979859,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Schaalia_SGB17158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_rubneri,-177.83633369005594,0.3022569334882647,3.1163253795891555,118.16814462389128,3.444905298597879,0.02956530187236795,0.03405548159936914,0.1599975801537396,-51.62299635999794,10.223367067013013,91.5073061144695,738.5620739410249,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Rothia_aeria,16.435579984371895,-0.08683947935436559,-0.3211093223790465,-0.83442515782424,3.411951168035818,0.029285689833173572,0.033741865198926684,0.16690214111681614,4.817061902393369,-2.9652529904211975,-9.516644100316684,-4.999487437613033,0.1303084720332429,0.20706812052006124,0.06665081358211604,0.12567846789789688,1,1,1,0.3875086093518487,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Scardovia_wiggsiae,-14.706685123030805,0.040558413174318624,0.2568369988084285,6.746453887046007,3.444905298597879,0.02956530187236795,0.03405548159936914,0.1599975801537396,-4.269111586033037,1.3718247609785088,7.541722705022214,42.16597451388594,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Granulicatella_SGB8255,-3.8752122831612184,0.03571539119618642,0.03462915249673354,-0.0667081703355866,3.0956037192010024,0.026489334531135895,0.03181273550890476,0.34940180051928715,-1.2518437870857186,1.3482932594703767,1.0885311163210227,-0.19092108351028453,0.2344783442154161,0.20246304927240646,0.29773948803479455,0.851779468864765,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Granulicatella_adiacens,12.38906266953307,-0.0847000585664358,-0.2318781648565856,2.3773138823683877,3.437452663886022,0.029611154715445582,0.03390633286372267,0.22180474098133984,3.604140589248813,-2.860410523681979,-6.8387863054538265,10.718048098748206,0.17230149974497463,0.21410705614431716,0.09243449709101163,0.05922553225563357,1,1,1,0.23690212902253427,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_naeslundii,-103.32443242537207,1.110401357349208,0.6819265544127276,NA,3.479564398098302,0.02986200035044853,0.03439048065268266,NA,-29.694645824587212,37.18442650585963,19.828933515052032,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Gemella_haemolysans,-4.595619011935493,0.06306249427007249,0.05105486912094963,-3.2312286947411684,3.331844482131942,0.028775033352402276,0.03365890529971864,0.3030549146961531,-1.3793017761125816,2.1915698062886078,1.5168309446289805,-10.66218872569957,0.21700796163682493,0.07092120346989843,0.18009931772500795,4.013773715109353e-5,1,1,1,0.0011880770196723686,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Rothia_mucilaginosa,-3.4111259462687378,0.028980129446792135,0.03186661536125767,0.32597155416743595,3.0428694367950073,0.025976426487142136,0.03306156819901367,0.48455219991335036,-1.1210227770605916,1.1156318772767602,0.9638567405344175,0.6727274259114447,0.27990518084702676,0.2821342908712209,0.35040044047485164,0.5113520504211506,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Parvimonas_micra,-1.8552772115843703,0.004812345628393679,-0.03231697264547607,2.8432227688304255,3.2418315760128174,0.027831234371747195,0.03222991970361728,0.22888423886173687,-0.5722929054402656,0.17291168491178815,-1.0027009977889898,12.422099411344544,0.587909292820066,0.8684063946018299,0.3547138975700425,1.661978469816543e-5,1,1,1,6.149320338321209e-4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Streptococcus_infantis,1.579240742917175,-0.007769654291788719,0.0030568876095052773,-0.7080986407524368,3.3685156569769417,0.028581078628576263,0.03454105630582776,0.338961238695707,0.46882392832172765,-0.27184608365411284,0.08850011946477503,-2.0890254103305086,0.6589250205039724,0.7966080932482744,0.9329145785291558,0.09101242987334619,1,1,1,0.31325208421523804,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Veillonella_atypica,-0.7680009653622858,0.012152142876549268,0.017699076166314585,-1.1213651071199267,3.1529740111372595,0.026938545806188704,0.03197978902207628,0.28316871345664124,-0.24357985909477012,0.45110611998059325,0.5534456826496436,-3.960060041349271,0.8130176198014236,0.662585744234033,0.5934384801337427,0.0033039744164456803,1,1,1,0.02716601186855337,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Veillonella_parvula,7.325170667248969,-0.03536116066044368,-0.054560101761498565,-3.3827272775335664,3.1751194495687045,0.027155895909238205,0.031660463927576585,0.2501447232984958,2.3070535718723875,-1.3021540802273481,-1.7232881326788192,-13.523080690760699,0.04646000532401312,0.2252001888423552,0.11893082093370017,2.765716702870719e-7,1,1,1,2.046630360124332e-5,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Megasphaera_micronuciformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_gordonii,-6.781092006841225,0.038363472440092035,0.12601612293019923,0.7135752439259976,3.3994985032095366,0.029211910377130692,0.033710816178602276,0.2551765845779415,-1.9947330467829463,1.313281875262971,3.738151051061978,2.7963978164620436,0.18422205201551714,0.31952564933360483,0.06469536120944266,0.10762636228354606,1,1,1,0.34662801805819105,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Veillonella_rogosae,0.8163669515488579,0.0014612179504985654,-0.027888688812408167,0.0291555365840227,3.2016267127289466,0.027437284657380576,0.0321887694533833,0.2026093511902309,0.25498505128757415,0.05325665308157601,-0.8664105303185747,0.14390025145803081,0.8051673007719004,0.9588333001079039,0.4114954558190005,0.8891380938975976,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Porphyromonas_bobii,-2.686177012932936,0.03632121123842396,0.0018644749283050752,-0.5224876510394261,3.104860962026478,0.026591429647596376,0.03196003398960643,0.4778962496773206,-0.8651521101220984,1.365899153214843,0.05833770167176331,-1.0933077030677976,0.40263862423809094,0.19513633091151894,0.9543668406939663,0.2941045123371727,1,1,1,0.6819098863979658,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_histicola,6.186261966644149,-0.045889230706499876,-0.005452242165937309,-1.8089878470960834,3.3341050609089606,0.02850889737420272,0.03361727799139296,0.23999593376453943,1.8554490196411564,-1.6096459327825272,-0.16218571198219106,-7.537577069413541,0.1371211608350359,0.18276108567525373,0.8790227339959956,0.0016592356442440806,1,1,1,0.016371125023208262,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Rothia_SGB49305,0.19174861537433915,-0.003213943490105314,0.023912058653388902,-0.5112153894508964,3.316199307707294,0.028409550644237395,0.03377184800871307,0.30187226214072244,0.05782180067666305,-0.11312898012194471,0.708047088427605,-1.6934824876774714,0.9557681559453688,0.9136185425833029,0.5054777063794751,0.1413051940785243,1,1,1,0.4182633744724319,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_oralis,-0.24286964239154857,0.04912095336756408,-0.018978000516275177,-4.292711562822863,3.1905180990179614,0.0273051292379714,0.03188008932584,0.2725936142034822,-0.07612232084384779,1.7989643242286832,-0.595293203927531,-15.747660029990628,0.9411910344568888,0.10972655183372708,0.5681006963645705,2.641414554114015e-7,1,1,1,2.046630360124332e-5,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Streptococcus_intermedius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Tannerella_serpentiformis,-6.717149116360859,0.06653926747608162,0.05237381876628231,-0.46577174761592427,3.3250426615992232,0.028526298856564755,0.033082779153279486,0.19941146376000937,-2.020169303069981,2.332558731528852,1.583114239696229,-2.3357320528797585,0.11347585384126682,0.08002749758502431,0.1885640527233099,0.07974994268126727,1,1,1,0.28787784187384285,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_salivae,6.143484719147639,-0.0519007324045773,0.0018523594399840505,-1.25121257436708,3.309760884488194,0.02838883158417361,0.03280580226062778,0.19449938301955225,1.8561717699729354,-1.8282095284791946,0.05646438472279578,-6.432989940339814,0.13700643031955353,0.1415213992952499,0.9576798162592153,0.0030032123757308656,1,1,1,0.026145613624009887,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Gemella_morbillorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Prevotella_oris,0.5756430068953579,4.939401902847609e-4,0.0060525869594743,-0.6459829978212527,3.2557871906086993,0.02787776042096964,0.032769777405234644,0.33092994402578757,0.17680609118304694,0.01771807285900984,0.18470027686265147,-1.9520234100390588,0.8640548649313871,0.986297683683751,0.8580604878641378,0.0867206296781184,1,1,1,0.30558698077051244,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_melaninogenica,0.18512293859923906,0.0041699426165797155,-0.010547468552747522,-0.2559244491038642,3.089524759625921,0.026459416731009537,0.031304750614900095,0.25581339978751105,0.05991955171178291,0.1575976771888809,-0.33692868799687076,-1.000434102812618,0.9532060437026162,0.8773946071417712,0.7419901791729113,0.3368474780268861,1,1,1,0.7461070987802707,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_nigrescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB1144_SGB1468,3.915812893602801,-0.008486857555582464,-0.11258968304999337,-0.12732000342818978,3.3783813819649393,0.02898013339661688,0.03341679106902738,0.17854325679138558,1.1590795860132523,-0.29285087958129324,-3.3692547802517163,-0.7131045199704946,0.36610863648471337,0.7972251003940375,0.07793257556683249,0.5497594839945602,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Capnocytophaga_gingivalis,-3.1608600341628024,0.02789080602363982,0.07801775448778676,-1.6351339827629845,3.3829990573292004,0.029065516032523844,0.03345499859708189,0.18444851398539705,-0.9343366582721511,0.9595840649252694,2.332020856655838,-8.864988648769701,0.4487650949814994,0.43852296210596553,0.1449432022080682,0.012486751175734381,1,1,1,0.07700163225036202,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Fusobacterium_nucleatum,2.239104222576041,-0.0032117597683722766,-0.0501742399747944,-0.009719994688122721,3.37719356884292,0.029083214938768982,0.034781472948923496,0.48175326582412004,0.6630073689685467,-0.11043345019229232,-1.442556502666668,-0.02017629225926478,0.5259642084469326,0.9147857975735172,0.18712852416801803,0.9843968860191163,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Peptostreptococcus_stomatis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_denticola,-24.098708265136516,0.18778648174735435,0.3273592525403277,NA,3.479564398098302,0.02986200035044853,0.03439048065268266,NA,-6.925783088914021,6.28847630914095,9.51889145855226,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Metamycoplasma_salivarium,-709.4828519061188,7.938579089916927,3.249479642996116,NA,3.479564398098302,0.02986200035044853,0.03439048065268266,NA,-203.89990548640938,265.84217389166594,94.48776467573556,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Alloprevotella_tannerae,11.39355356298546,-0.0955683584364281,-0.10703585425787211,0.3959519901500671,3.3919542410146803,0.029141443662862414,0.03357348962735487,0.23064159769292147,3.3589938877174106,-3.2794654767985816,-3.188106313817968,1.7167414469493987,0.07835484598945947,0.08174217117685664,0.08589896796158675,0.22816386699901756,1,1,1,0.5822112468250793,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_anginosus,7.5938051590316675,-0.10364909389798911,-0.023421052611438568,2.614143853053147,3.4018825333759386,0.029124333474204196,0.033887203555434106,0.1879883276885772,2.232236147053489,-3.5588486167346103,-0.6911473994342858,13.905883866277891,0.1552603049369893,0.070685942164227,0.5609159551238927,0.005131565121493416,1,1,1,0.03616531609433455,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Corynebacterium_durum,3.341952056124927,-0.017799435799441245,-0.009769740418704575,-0.9614882663079614,3.444905298597879,0.02956530187236795,0.03405548159936914,0.1599975801537396,0.9701143475511923,-0.6020380199830393,-0.286877176885543,-6.009392550712827,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Dialister_invisus,-15.718067266994197,0.11680091837438893,0.15491589872532543,1.9342033210729115,3.444905298597879,0.02956530187236795,0.03405548159936914,0.1599975801537396,-4.562699379106779,3.9506080093013467,4.5489269700474635,12.08895359051281,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Neisseria_subflava,-2.471585771110872,0.01190186322916821,0.049188751842992436,0.5261462356575243,3.187235809414289,0.027289257952888238,0.03171576392596787,0.2630808804283308,-0.7754637306127248,0.4361372980428932,1.5509243907165744,1.999940986972858,0.45795651248252134,0.6730116530829355,0.1553331248627402,0.07656010767425664,1,1,1,0.2832723983947496,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Burkholderia_contaminans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fusobacterium_periodonticum,-0.13663254165964678,-0.004796074342958281,-7.8272238750155e-4,0.9664428427441005,3.205343625654317,0.027480072209168805,0.03190519068886904,0.1837727448696802,-0.042626488020221405,-0.17452917541308557,-0.02453276004943682,5.258901930367529,0.9671896881770219,0.8663901583196677,0.9811123594661213,0.0011747495986573508,1,1,1,0.014297845124166486,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Lachnoanaerobaculum_sp_ICM7,-1.348444224178067,0.001424617684918261,0.024542086658995193,1.2788688048624055,3.3889830611827034,0.029077285181928446,0.03356751402406616,0.18047363908606603,-0.39789051754878957,0.04899417796416778,0.731126131098055,7.08618062637129,0.7291642518444656,0.9653766560160326,0.5407572941713037,0.01933896556537351,1,1,1,0.09943501031667475,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_nanceiensis,0.8704692083508351,-0.01754627232727351,0.01629316080029859,1.3515848199681337,3.2516531959963055,0.02774386284139043,0.03239902143567446,0.26709879192939157,0.26770050675226564,-0.6324379711500242,0.5028905219451548,5.060243104077497,0.796646247951127,0.5471946681244975,0.630474497259439,0.0014629563210217201,1,1,1,0.01546553825080104,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Solobacterium_SGB6829,0.32372862432470745,-0.0024050674197033913,0.015657985804793065,-0.3163378746449213,3.24906423085569,0.027774069182561218,0.03274104651276481,0.2340694604438719,0.09963749600587264,-0.08659398822314035,0.4782371815356744,-1.3514700894556757,0.9234255979139431,0.9334191893534772,0.6470562328994255,0.2185893782348691,1,1,1,0.5675654031361513,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
